epoch,train_g_loss,train_pd_loss,train_g_error
0,2.9447478248465875,0.059396211677819,16.28660479737118
1,2.2756894723228784,0.03155003935648186,7.394569003063699
2,2.0189398746806395,0.04965492193905278,6.220592460276918
3,1.9007364980429102,0.04056395263619351,5.701418462500563
4,1.8626618590167343,0.05422810002328446,5.4879395828484006
5,1.8184959856372935,0.056896080704035686,5.2801816917601085
6,1.7911796821570545,0.05955761623608361,5.151664669222466
7,1.790180920567325,0.05677443295649752,5.1508101555624854
8,1.7527433917635964,0.07037079967384846,4.973623100028028
9,1.7192114621215726,0.05528024762992286,4.8062593319894855
10,1.7050961379432283,0.0672806390434866,4.7326839708146595
11,1.6880302086133148,0.0623462540044509,4.646427919899208
12,1.6616367444735383,0.09064635071772349,4.52097953970141
13,1.631838742003431,0.0841693832870673,4.387459702620101
14,1.6162404508077333,0.09220748091421203,4.282783335286885
15,1.61804533498381,0.09463234674609719,4.266463190625666
16,1.5917280092989683,0.08305234133119369,4.135267953694977
17,1.5551164747518536,0.09506649802936391,3.97443347589323
18,1.5552909102745924,0.10275105230498666,3.971294366795084
19,1.5399985185074263,0.09542268665201815,3.8863798286110223
20,1.5185302947618946,0.1005439212700973,3.7707428811252983
21,1.497335387806468,0.10563180968213602,3.676068681614246
22,1.4755237719533854,0.1193538976782127,3.5706067586290664
23,1.4560292630955793,0.12460565624573494,3.4673727844566047
24,1.4389263253281082,0.11676158024673977,3.3473139813721304
25,1.4253257176150447,0.1300978423250496,3.289946547206144
26,1.4102449323326411,0.12410658032837754,3.232020917392912
27,1.395040702252161,0.146799462831986,3.1265321372705466
28,1.3660604010951198,0.15253167171763954,3.014777276333321
29,1.3328402202815497,0.15887883671329936,2.8332109466102553
30,1.333152229001063,0.15848823518330313,2.8442629859561013
31,1.3282205606839672,0.15849408081599645,2.824967240448077
32,1.295025610775681,0.1569511280607193,2.6793806259182915
33,1.2994840161153742,0.1576757130857102,2.674551260397301
34,1.2795099649370087,0.15711625357781292,2.5722546298558173
35,1.2538725963290434,0.16141955213771658,2.490681785727633
36,1.2297468875259099,0.1583650800492036,2.363219547962797
37,1.2552096710442016,0.15316897151532813,2.4864279940014793
38,1.2243300413493043,0.15504894139704065,2.352182936470948
39,1.216024721014327,0.15012658630183456,2.31843145935185
40,1.2068856669508892,0.15102564733413745,2.282068591186966
41,1.2042722400918018,0.15454915752460868,2.3011323179023853
42,1.1802871572798577,0.15643254069584436,2.2004393718010644
43,1.167206765331837,0.15235188377030023,2.1391196149723375
44,1.1614599768419442,0.15568516965315332,2.1179507113144758
45,1.1526913684841023,0.1476725697725641,2.0727030615135256
46,1.1530869989414887,0.148200801358699,2.0878765294270485
47,1.1475429643508563,0.14672445894197772,2.0552162247908536
48,1.14185715363386,0.1489222057850156,2.041007712020637
49,1.1166510182137814,0.156337961041625,1.9619213540114724
50,1.1108548760907744,0.15715118700457162,1.9417208573833016
51,1.1137031342672266,0.15273482479563844,1.9378920798469528
52,1.10589011065955,0.15245351657718728,1.9141769543691205
53,1.0940233540584334,0.1425743948853349,1.8786815063059947
54,1.083348562381776,0.15046511347141447,1.8318614714140724
55,1.0807303672745114,0.15033004440050995,1.823043417733155
